CREATIVE,LINK,SPONSOR,CATEGORY,CATEGORY-STATE,L,MARKET,DISTRICT,MEDIA,AIRDATE,AIRTIME,DAYPART,STATION,AFFILIATE,PROGRAM,PROGRAM TYPE,EST. COST,AD TYPE,AFFILIATION,ELECTION,ISSUE,LEVEL,RACE,TONE,YEAR,NIELSENDMAID,MARKET-STATE
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/03/2018","19:15:30","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/03/2018","19:54:34","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/03/2018","22:10:01","LATE NEWS","WYDO","FOX","WCTI NEWS CHANNEL 12 ON","NEWSCAST (LOCAL ONLY)","100","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/04/2018","19:14:52","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/04/2018","19:53:49","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/04/2018","22:23:58","LATE NEWS","WYDO","FOX","WCTI NEWS CHANNEL 12 ON","NEWSCAST (LOCAL ONLY)","100","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/05/2018","19:13:23","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/05/2018","19:54:30","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/05/2018","22:25:31","LATE NEWS","WYDO","FOX","WCTI NEWS CHANNEL 12 ON","NEWSCAST (LOCAL ONLY)","100","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
"HOUSE/NC03 DACEY LARGEST TAX CUT","http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_DACEY_LARGEST_TAX_CUT.wmv","DACEY, SCOTT","HOUSE/NC03","NC","30","GREENVILLE, NC","03","Spot TV","04/06/2018","19:12:00","PRIME ACCESS","WYDO","FOX","BIG BANG THEORY","SITUATION COMEDY","180","CANDIDATE","REPUBLICAN","PRIMARY","TAXES|PRO-TRUMP|TAXES:  REFORM","FEDERAL","US HOUSE","CONTRAST","2018","545","NC"
